date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-02,14:59,15:14,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,4,305
2026-02-02,14:59,15:14,AV03T,av,AV03T_TPI,AV03T_TPI_RUN1_O2.csv,light,run1,0,12,4,305
2026-02-02,15:30,15:45,DA04T,da,DA04T_TPI,DA04T_TPI_RUN1_O2.csv,light,run1,0,1,5,390
2026-02-02,15:30,15:45,GS02T,gs,GS02T_TPI,GS02T_TPI_RUN1_O2.csv,light,run1,0,2,5,390
2026-02-02,15:30,15:45,AS03T,as,AS03T_TPI,AS03T_TPI_RUN1_O2.csv,light,run1,0,3,5,390
2026-02-02,15:30,15:45,SF01T,sf,SF01T_TPI,SF01T_TPI_RUN1_O2.csv,light,run1,0,4,5,390
2026-02-02,15:30,15:45,AV02T,av,AV02T_TPI,AV02T_TPI_RUN1_O2.csv,light,run1,0,5,5,390
2026-02-02,15:30,15:45,BLANKAT01_RUN1,blank,BLANKAT01_TPI_RUN1,BLANKAT01_TPI_RUN1_O2.csv,light,run1,1,6,5,390
2026-02-02,15:30,15:45,BLANKAT02_RUN1,blank,BLANKAT02_TPI_RUN1,BLANKAT02_TPI_RUN1_O2.csv,light,run1,1,7,5,390
2026-02-02,15:30,15:45,DA01T,da,DA01T_TPI,DA01T_TPI_RUN1_O2.csv,light,run1,0,8,5,390
2026-02-02,15:30,15:45,CS02T,cs,CS02T_TPI,CS02T_TPI_RUN1_O2.csv,light,run1,0,9,5,390
2026-02-02,15:30,15:45,GS04T,gs,GS04T_TPI,GS04T_TPI_RUN1_O2.csv,light,run1,0,10,5,390
2026-02-02,15:30,15:45,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,5,390
2026-02-02,15:30,15:45,AV03T,av,AV03T_TPI,AV03T_TPI_RUN1_O2.csv,light,run1,0,12,5,390
2026-02-02,16:00,16:15,DA04T,da,DA04T_TPI,DA04T_TPI_RUN1_O2.csv,light,run1,0,1,6,510
2026-02-02,16:00,16:15,GS02T,gs,GS02T_TPI,GS02T_TPI_RUN1_O2.csv,light,run1,0,2,6,510
2026-02-02,16:00,16:15,AS03T,as,AS03T_TPI,AS03T_TPI_RUN1_O2.csv,light,run1,0,3,6,510
2026-02-02,16:00,16:15,SF01T,sf,SF01T_TPI,SF01T_TPI_RUN1_O2.csv,light,run1,0,4,6,510
2026-02-02,16:00,16:15,AV02T,av,AV02T_TPI,AV02T_TPI_RUN1_O2.csv,light,run1,0,5,6,510
2026-02-02,16:00,16:15,BLANKAT01_RUN1,blank,BLANKAT01_TPI_RUN1,BLANKAT01_TPI_RUN1_O2.csv,light,run1,1,6,6,510
2026-02-02,16:00,16:15,BLANKAT02_RUN1,blank,BLANKAT02_TPI_RUN1,BLANKAT02_TPI_RUN1_O2.csv,light,run1,1,7,6,510
2026-02-02,16:00,16:15,DA01T,da,DA01T_TPI,DA01T_TPI_RUN1_O2.csv,light,run1,0,8,6,510
2026-02-02,16:00,16:15,CS02T,cs,CS02T_TPI,CS02T_TPI_RUN1_O2.csv,light,run1,0,9,6,510
2026-02-02,16:00,16:15,GS04T,gs,GS04T_TPI,GS04T_TPI_RUN1_O2.csv,light,run1,0,10,6,510
2026-02-02,16:00,16:15,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,6,510
2026-02-02,16:00,16:15,AV03T,av,AV03T_TPI,AV03T_TPI_RUN1_O2.csv,light,run1,0,12,6,510
2026-02-02,16:19,16:34,DA04T,da,DA04T_TPI,DA04T_TPI_RUN1_O2.csv,light,run1,0,1,7,602
2026-02-02,16:19,16:34,GS02T,gs,GS02T_TPI,GS02T_TPI_RUN1_O2.csv,light,run1,0,2,7,602
2026-02-02,16:19,16:34,AS03T,as,AS03T_TPI,AS03T_TPI_RUN1_O2.csv,light,run1,0,3,7,602
2026-02-02,16:19,16:34,SF01T,sf,SF01T_TPI,SF01T_TPI_RUN1_O2.csv,light,run1,0,4,7,602
2026-02-02,16:19,16:34,AV02T,av,AV02T_TPI,AV02T_TPI_RUN1_O2.csv,light,run1,0,5,7,602
2026-02-02,16:19,16:34,BLANKAT01_RUN1,blank,BLANKAT01_TPI_RUN1,BLANKAT01_TPI_RUN1_O2.csv,light,run1,1,6,7,602
2026-02-02,16:19,16:34,BLANKAT02_RUN1,blank,BLANKAT02_TPI_RUN1,BLANKAT02_TPI_RUN1_O2.csv,light,run1,1,7,7,602
