file_id_csv,sample_id,intercept,umol.L.sec,temp_c,light_level,light_value,run_block
AS01_O2.csv,AS01,171.08566265455744,-0.008582448845606768,25.26290476190476,1,0,run1
AS01_O2.csv,AS01,161.25665307692316,3.388461538451716e-5,25.10402564102564,2,94,run1
AS01_O2.csv,AS01,161.2024523809524,0.004760238095238084,25.022410256410257,3,190,run1
AS01_O2.csv,AS01,166.28395076923084,0.01323507692307682,25.431410256410256,4,295,run1
AS01_O2.csv,AS01,183.7291880498533,0.018040295087976634,25.363692307692308,5,390,run1
AS01_O2.csv,AS01,212.3472264257482,0.021488114059853146,25.282871794871795,6,490,run1
AS01_O2.csv,AS01,244.61740173796798,0.02043833556149727,25.201666666666668,7,590,run1
AS01_O2.csv,AS01,278.5306166007906,0.02306180830039517,25.15402564102564,8,700,run1
AS01_O2.csv,AS01,313.9992386554622,0.02663490196078429,25.178589743589743,9,820,run1
AS01_O2.csv,AS01,343.3015447214075,0.02073566715542535,25.151384615384615,10,905,run1
AS02_O2.csv,AS02,204.747648395722,-0.0018202540106952497,25.093642857142857,1,0,run1
AS02_O2.csv,AS02,202.73095912756585,-5.564149560116099e-4,24.931,2,94,run1
AS02_O2.csv,AS02,202.18463914884134,4.93933823529401e-4,24.837282051282052,3,190,run1
AS02_O2.csv,AS02,202.6613481203007,0.0018142481203008314,25.239974358974358,4,295,run1
AS02_O2.csv,AS02,204.95668170940164,0.003023196581196645,25.179871794871794,5,390,run1
AS02_O2.csv,AS02,209.6535822510822,0.001979545454545487,25.09294871794872,6,490,run1
AS02_O2.csv,AS02,213.97750988142298,0.00368231225296438,25.027384615384616,7,590,run1
AS02_O2.csv,AS02,221.43351384615403,0.004298653846153651,24.977102564102562,8,700,run1
AS02_O2.csv,AS02,227.8388184615385,0.0033102307692306986,24.952538461538463,9,820,run1
AS02_O2.csv,AS02,231.92310175438587,0.004719385964912417,24.969051282051282,10,905,run1
AV02_O2.csv,AV02,166.38393025210084,-0.01143306722689076,25.0345,1,0,run1
AV02_O2.csv,AV02,151.71560526315784,0.004090789473684248,24.89174358974359,2,94,run1
AV02_O2.csv,AV02,155.23709250136832,0.011409865900383183,24.809435897435897,3,190,run1
AV02_O2.csv,AV02,167.5307832512314,0.020986398467433057,25.20728205128205,4,295,run1
AV02_O2.csv,AV02,193.57476510446077,0.026749943534726157,25.18651282051282,5,390,run1
AV02_O2.csv,AV02,234.83937542400707,0.027859377393587844,25.121871794871794,6,490,run1
AV02_O2.csv,AV02,278.64366999999993,0.029712000000000027,25.071410256410257,7,590,run1
AV02_O2.csv,AV02,331.7359193919169,0.031925183537263695,25.050666666666668,8,700,run1
AV02_O2.csv,AV02,379.61432512315264,0.03103514778325131,25.07551282051282,9,820,run1
AV02_O2.csv,AV02,413.8632147147148,0.02310846203346205,25.089435897435898,10,905,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,208.13141735084812,-5.187465790912059e-4,25.12392857142857,1,0,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,207.51021816833506,-3.27953281423695e-4,24.960435897435897,2,94,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,207.10283188728212,-6.503893214682537e-4,24.879307692307695,3,190,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,206.27296615384634,-6.383076923078472e-4,25.28074358974359,4,295,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,205.61322139037424,-4.6106951871649493e-4,25.220358974358973,5,390,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,204.91072468527625,-2.9911056376557454e-4,25.141102564102564,6,490,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,204.50256709956722,-5.455844155845639e-4,25.073153846153847,7,590,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,203.69966940339344,-2.0987958401743064e-4,25.03494871794872,8,700,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,203.28107119938878,-3.0568372803661353e-4,25.043743589743592,9,820,run1
BLANK1_RUN1_O2.csv,BLANK1_RUN1,202.81056735856743,-1.6532356532360216e-4,25.050615384615384,10,905,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,210.89827894736834,-5.707518796992035e-4,25.031785714285714,1,0,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,210.13048571428584,-2.700985221675711e-4,24.87002564102564,2,94,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,208.53422051282047,-4.747179487178941e-4,25.167589743589744,3,190,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,208.53422051282047,-4.747179487178941e-4,25.167589743589744,4,295,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,207.89207717569772,-3.4146141215091186e-4,25.106923076923078,5,390,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,207.16496638655457,-3.391902215431222e-4,25.025435897435898,6,490,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,206.68846061231497,-5.693498452011002e-4,24.959615384615386,7,590,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,205.81827044334986,-4.292364532020306e-4,24.905076923076923,8,700,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,205.15128053392638,-3.050500556171775e-4,24.917846153846153,9,820,run1
BLANK2_RUN1_O2.csv,BLANK2_RUN1,204.71989230769236,-3.1076923076925886e-4,24.92976923076923,10,905,run1
