date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-02,15:30,15:45,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,5,390
2026-02-02,15:30,15:45,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,5,390
2026-02-02,15:30,15:45,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,5,390
2026-02-02,15:30,15:45,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,5,390
2026-02-02,15:30,15:45,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,5,390
2026-02-02,15:30,15:45,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,5,390
2026-02-02,15:30,15:45,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,5,390
2026-02-02,15:30,15:45,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,5,390
2026-02-02,15:30,15:45,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,5,390
2026-02-02,15:30,15:45,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,5,390
2026-02-02,16:00,16:15,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,6,510
2026-02-02,16:00,16:15,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,6,510
2026-02-02,16:00,16:15,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,6,510
2026-02-02,16:00,16:15,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,6,510
2026-02-02,16:00,16:15,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,6,510
2026-02-02,16:00,16:15,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,6,510
2026-02-02,16:00,16:15,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,6,510
2026-02-02,16:00,16:15,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,6,510
